user_id,event_time,event_type,device,source
bdfbd073,2024-01-01 17:50:00,homepage_view,Android,Instagram Ads
bdfbd073,2024-01-01 17:52:59,product_view,Android,Instagram Ads
bdfbd073,2024-01-01 17:57:52,add_to_cart,Android,Instagram Ads
0e18ac3e,2024-01-01 12:07:00,homepage_view,Android,Instagram Ads
0e18ac3e,2024-01-01 12:10:29,product_view,Android,Instagram Ads
aceae49e,2024-01-01 03:18:00,homepage_view,Android,Google Ads
68534eec,2024-01-01 13:01:00,homepage_view,Android,Instagram Ads
68534eec,2024-01-01 13:02:22,product_view,Android,Instagram Ads
0e20bbcf,2024-01-01 01:25:00,homepage_view,Android,Organic
0e20bbcf,2024-01-01 01:28:22,product_view,Android,Organic
b504262a,2024-01-01 05:46:00,homepage_view,Android,Instagram Ads
ecaf7cde,2024-01-01 04:23:00,homepage_view,iOS,Direct
02fcea23,2024-01-01 02:23:00,homepage_view,Android,Google Ads
d73b3218,2024-01-01 22:31:00,homepage_view,iOS,Organic
d73b3218,2024-01-01 22:35:28,product_view,iOS,Organic
d73b3218,2024-01-01 22:37:33,add_to_cart,iOS,Organic
0775ad9a,2024-01-01 08:51:00,homepage_view,Android,Organic
0775ad9a,2024-01-01 08:52:05,product_view,Android,Organic
98e49457,2024-01-01 21:33:00,homepage_view,Android,Instagram Ads
818b5fc1,2024-01-01 12:01:00,homepage_view,Android,Google Ads
38787637,2024-01-01 03:18:00,homepage_view,Android,Google Ads
38787637,2024-01-01 03:21:21,product_view,Android,Google Ads
38787637,2024-01-01 03:21:40,add_to_cart,Android,Google Ads
38787637,2024-01-01 03:21:54,checkout_start,Android,Google Ads
665643ae,2024-01-01 16:08:00,homepage_view,iOS,Instagram Ads
65a344e7,2024-01-01 15:49:00,homepage_view,Web,Direct
355cfb31,2024-01-01 05:49:00,homepage_view,Web,Direct
355cfb31,2024-01-01 05:53:41,product_view,Web,Direct
355cfb31,2024-01-01 05:54:00,add_to_cart,Web,Direct
355cfb31,2024-01-01 05:58:06,checkout_start,Web,Direct
355cfb31,2024-01-01 06:02:33,purchase_success,Web,Direct
70c25af1,2024-01-01 01:44:00,homepage_view,Web,Organic
70c25af1,2024-01-01 01:47:27,product_view,Web,Organic
20d50d73,2024-01-01 07:05:00,homepage_view,Web,Organic
20d50d73,2024-01-01 07:05:28,product_view,Web,Organic
ba9c7ecb,2024-01-01 22:57:00,homepage_view,Android,Direct
ba9c7ecb,2024-01-01 22:59:39,product_view,Android,Direct
ba9c7ecb,2024-01-01 23:03:47,add_to_cart,Android,Direct
10b622f8,2024-01-01 08:45:00,homepage_view,Web,Google Ads
10b622f8,2024-01-01 08:48:25,product_view,Web,Google Ads
a878202d,2024-01-01 01:47:00,homepage_view,iOS,Organic
a878202d,2024-01-01 01:50:07,product_view,iOS,Organic
aacd9ff7,2024-01-01 04:07:00,homepage_view,iOS,Direct
aacd9ff7,2024-01-01 04:09:59,product_view,iOS,Direct
d668072e,2024-01-01 22:35:00,homepage_view,Web,Organic
618b7f0e,2024-01-01 12:33:00,homepage_view,Android,Direct
9cfcc97f,2024-01-01 21:58:00,homepage_view,Web,Instagram Ads
9cfcc97f,2024-01-01 21:58:31,product_view,Web,Instagram Ads
de44753c,2024-01-01 08:42:00,homepage_view,Android,Direct
de44753c,2024-01-01 08:43:37,product_view,Android,Direct
81101567,2024-01-01 07:05:00,homepage_view,iOS,Direct
81101567,2024-01-01 07:07:16,product_view,iOS,Direct
81101567,2024-01-01 07:10:52,add_to_cart,iOS,Direct
81101567,2024-01-01 07:13:51,checkout_start,iOS,Direct
81101567,2024-01-01 07:18:18,purchase_success,iOS,Direct
d5264ee5,2024-01-01 13:36:00,homepage_view,Web,Google Ads
d5264ee5,2024-01-01 13:36:32,product_view,Web,Google Ads
d5264ee5,2024-01-01 13:39:46,add_to_cart,Web,Google Ads
d5264ee5,2024-01-01 13:42:28,checkout_start,Web,Google Ads
f8329f7b,2024-01-01 10:23:00,homepage_view,iOS,Instagram Ads
f8329f7b,2024-01-01 10:26:41,product_view,iOS,Instagram Ads
9f41384b,2024-01-01 18:58:00,homepage_view,Web,Google Ads
5ac94c72,2024-01-01 01:36:00,homepage_view,iOS,Direct
5ac94c72,2024-01-01 01:36:10,product_view,iOS,Direct
5ac94c72,2024-01-01 01:36:51,add_to_cart,iOS,Direct
ed98ceec,2024-01-01 15:57:00,homepage_view,Android,Google Ads
85f3b78e,2024-01-01 23:06:00,homepage_view,iOS,Direct
15f1bcce,2024-01-01 18:35:00,homepage_view,Web,Direct
15f1bcce,2024-01-01 18:35:16,product_view,Web,Direct
15f1bcce,2024-01-01 18:39:30,add_to_cart,Web,Direct
15f1bcce,2024-01-01 18:44:05,checkout_start,Web,Direct
15f1bcce,2024-01-01 18:48:44,purchase_success,Web,Direct
cefe5bfa,2024-01-01 07:56:00,homepage_view,Web,Google Ads
cefe5bfa,2024-01-01 07:57:32,product_view,Web,Google Ads
f2169718,2024-01-01 01:37:00,homepage_view,iOS,Direct
f2169718,2024-01-01 01:41:07,product_view,iOS,Direct
f2169718,2024-01-01 01:41:55,add_to_cart,iOS,Direct
06882abb,2024-01-01 18:08:00,homepage_view,Web,Organic
06882abb,2024-01-01 18:10:32,product_view,Web,Organic
9f8b448b,2024-01-01 11:41:00,homepage_view,Android,Instagram Ads
9f8b448b,2024-01-01 11:44:52,product_view,Android,Instagram Ads
9f8b448b,2024-01-01 11:46:11,add_to_cart,Android,Instagram Ads
4142a1a9,2024-01-01 11:15:00,homepage_view,Web,Instagram Ads
4142a1a9,2024-01-01 11:19:50,product_view,Web,Instagram Ads
